x,fx
0,-10.16
-2,-6.16
-3,-1.1600000000000001
-3,-1.1600000000000001
-3,-1.1600000000000001
-3.125,-0.39437500000000014
-3.125,-0.39437500000000014
-3.15625,-0.19808593750000014
-3.171875,-0.09920898437500014
-3.1796875,-0.04958740234375014
-3.18359375,-0.024730834960937642
-3.185546875,-0.012291107177734517
-3.1865234375,-0.006068382263183736
-3.18701171875,-0.0029563045501710405
-3.187255859375,-0.0014000868797303667
-3.1873779296875,-0.0006219333410264483
-3.18743896484375,-0.00023284539580359365
-3.187469482421875,-0.00003829862922444249
-3.187469482421875,-0.00003829862922444249
-3.187469482421875,-0.00003829862922444249
